FRAME_NUMBER,TIME_FPS,TIME_PROCESS,TIME_PHYSICS_PROCESS,MEMORY_STATIC,MEMORY_DYNAMIC,MEMORY_STATIC_MAX,MEMORY_DYNAMIC_MAX,MEMORY_MESSAGE_BUFFER_MAX,OBJECT_COUNT,OBJECT_RESOURCE_COUNT,OBJECT_NODE_COUNT,OBJECT_ORPHAN_NODE_COUNT,RENDER_OBJECTS_IN_FRAME,RENDER_VERTICES_IN_FRAME,RENDER_MATERIAL_CHANGES_IN_FRAME,RENDER_SHADER_CHANGES_IN_FRAME,RENDER_SURFACE_CHANGES_IN_FRAME,RENDER_DRAW_CALLS_IN_FRAME,RENDER_2D_ITEMS_IN_FRAME,RENDER_2D_DRAW_CALLS_IN_FRAME,RENDER_VIDEO_MEM_USED,RENDER_TEXTURE_MEM_USED,RENDER_VERTEX_MEM_USED,RENDER_USAGE_VIDEO_MEM_TOTAL,PHYSICS_2D_ACTIVE_OBJECTS,PHYSICS_2D_COLLISION_PAIRS,PHYSICS_2D_ISLAND_COUNT,PHYSICS_3D_ACTIVE_OBJECTS,PHYSICS_3D_COLLISION_PAIRS,PHYSICS_3D_ISLAND_COUNT,AUDIO_OUTPUT_LATENCY,
50,60,0,0,52745848,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,28,44,11253764,11253764,0,0,9,13331,9,0,0,0,0,
51,60,0,0,52753608,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,28,44,11253764,11253764,0,0,9,13329,9,0,0,0,0,
52,60,0,0,52754616,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,28,44,11253764,11253764,0,0,9,13331,9,0,0,0,0,
53,60,0,0,52753064,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,28,44,11253764,11253764,0,0,9,13330,9,0,0,0,0,
54,60,0,0,52753848,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,28,44,11253764,11253764,0,0,9,13330,9,0,0,0,0,
55,60,0,0,52760344,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,28,44,11253764,11253764,0,0,9,13332,9,0,0,0,0,
56,60,0,0,52765368,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,28,44,11253764,11253764,0,0,9,13330,9,0,0,0,0,
57,60,0,0,52764928,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,28,44,11253764,11253764,0,0,9,13329,9,0,0,0,0,
58,60,0,0,52763960,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,28,44,11253764,11253764,0,0,9,13328,9,0,0,0,0,
59,60,0,0,52764784,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,28,44,11253764,11253764,0,0,9,13329,9,0,0,0,0,
60,60,0,0,52764344,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,28,44,11253764,11253764,0,0,9,13328,9,0,0,0,0,
61,60,0,0,52777328,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,28,44,11253764,11253764,0,0,9,13331,9,0,0,0,0,
62,60,0,0,52767544,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,26,41,11253764,11253764,0,0,9,13330,9,0,0,0,0,
63,60,0,0,52767160,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,26,41,11253764,11253764,0,0,9,13330,9,0,0,0,0,
64,60,0,0,52767232,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,26,41,11253764,11253764,0,0,9,13329,9,0,0,0,0,
65,60,0,0,52762288,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,26,41,11253764,11253764,0,0,9,13331,9,0,0,0,0,
66,60,0,0,52762192,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,26,41,11253764,11253764,0,0,9,13330,9,0,0,0,0,
67,60,0,0,52761272,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,26,41,11253764,11253764,0,0,9,13328,9,0,0,0,0,
